"pond_id","sample_date","Time","water temp C","pH","Conductivity_uS_cm","DO (mg/L)","SRP MDL =.00567","TDP MDL = .0041","TP MDL = 0.0041","NH3 MDL = .021","UREA MDL = .0202","NO3 MDL = .0073","TDN_mg_L","TN MDL = .0447","SO4 MDL = 1.015","Delta2H_‰","Delta18O_‰","ChlA","Alk MDL = 3.16","Notes","Delta 2H (‰)","Delta 18O (‰)","Tube #","Depth (m)","mL Filtered","L filtered","Rep #","Abs @ 750","Abs @ 665","Abs @ 649","Average","%Error","analyzing_date"
"1",2022-10-13,NA,9.3,7.64,5814,10.83,0.013,0.1105,0.445,0.008,0.2437,0.0564,8.3065,10.454,4337.885,NA,NA,179.165,NA,"YSI done in lab following morning, temp and O2 probably not reflect pond conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1A",2014-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.56,-8.21,NA,NA,"No 1 A listed in field notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1B",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.05,-10.22,NA,NA,NA,-94.05,-10.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-08-25,NA,17,NA,1.184,NA,1.7079,0.147,0.13291875,NA,NA,NA,NA,NA,NA,-97.13,-11.76,63.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2014-08-12,NA,15.9,NA,0.912,NA,1.57019996643066,0.9313384,1.0759528,0.70949998497963,NA,NA,NA,NA,NA,-102.2,-10.63,54.341,NA,NA,-102.2,-10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2014-08-11,NA,19.4,NA,1.42,NA,0.7153500020504,0.839448,0.975024,0.247500002384186,NA,0.7153500020504,NA,NA,584.705,NA,NA,102.922,NA,"two different dates labelled in the chem files",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2014-08-12,NA,17.4,NA,1.501,NA,0.489649996161461,0.5892865,0.6998124,0.0593000017106533,NA,NA,NA,NA,460.4,-89.67,-9.18,49.873,NA,"two different dates labelled in the chem files",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2015-07-06,NA,NA,NA,NA,NA,1.22225,NA,1.3643453560652,0.1205,NA,0.0024,NA,NA,NA,-82.64,-6.56,70.658,NA,NA,-82.64,-6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2016-04-20,11:00:00,NA,8.43,644,NA,0.45935,NA,0.7835,0.0085,NA,0.0054,NA,NA,220.32,-106.53,-12.35,134.243157179269,NA,NA,-106.53,-12.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.57,-10.26,NA,NA,NA,-93.57,-10.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2016-07-18,NA,NA,8.94,1039,NA,1.62115,NA,1.907,0.2775,NA,0.00175,NA,NA,296.305096504,-78.2,-6.53,196.192,NA,NA,-78.2,-6.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2017-07-12,NA,NA,NA,NA,NA,0.10932875,2.4815,2.5285,2.36449875,NA,0.0188,NA,NA,NA,NA,NA,61.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2017-10-17,NA,NA,NA,NA,NA,1.67767515,0.2208682,0.50603922,0.08705,NA,0.01885,NA,NA,NA,NA,NA,190.198358585859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2019-05-22,NA,NA,9.2,746,NA,2.06945,2.16,2.4355,0.70764812,0.52515,0.0261,NA,3.903,242.935,NA,NA,3.1915,308.075,NA,NA,NA,11,"Surface",400,0.4,1,0.004,0.015,0.008,NA,NA,2019-07-18
"103",2019-06-03,NA,NA,NA,NA,NA,1.82995,2.326,2.093,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From Amy H. Data I think? Not SDWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2019-07-09,NA,NA,9.2,904,NA,6.07095,6.395,6.899,1.05555,0.8290617,0.2556,NA,6.332,291.88,NA,NA,152.807058823529,445.055,NA,NA,NA,28,"Surface",170,0.17,1,0.043,0.257,0.101,NA,NA,2019-07-18
"105",2014-08-11,NA,17.9,NA,0.717,NA,1.72780001163483,0.9238064,0.9855688,0.600699990987778,NA,NA,NA,NA,9.475,-90.69,-8.54,58.8566666666667,NA,NA,-90.69,-8.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2015-07-06,NA,NA,NA,NA,NA,1.5573,NA,3.1428124389912,0.63,NA,4e-04,NA,NA,NA,-74.48,-4.42,365.482857142857,NA,NA,-74.48,-4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2016-04-20,11:15:00,NA,8.02,312,NA,0.3832,NA,0.6395,0.0125,NA,0.0068,NA,NA,217.99,-113.86,-13.4,29.0010593220339,NA,NA,-113.86,-13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.17,-10.96,NA,NA,NA,-99.17,-10.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2016-07-18,NA,NA,8.77,498,NA,3.0115,NA,4.747,0.322,NA,-0.0018,NA,NA,5.9268129196,-76.73,-5.47,476.784333333333,NA,NA,-76.73,-5.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2014-08-11,NA,22.3,NA,0.529,NA,1.32650005817413,0.5848664,0.8560184,0.0263000000268221,NA,1.32650005817413,NA,NA,7.645,NA,NA,65.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106A",2014-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.64,-8.75,NA,NA,"No A pond listed just 106 in field ntoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106B",2014-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.65,-8,NA,NA,"No B pond listed just 106 in field notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2014-08-11,NA,17.9,NA,0.687,NA,2.72059988975525,1.0006328,1.2672656,0.0385500006377697,NA,2.72059988975525,NA,NA,NA,NA,NA,202.044137931034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2022-05-11,NA,13.12,6.05,233,NA,2.76195,3.021,3.0265,0.102,0.633,0.06595,2.5225,2.6175,16.54,NA,NA,9.64539285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2014-08-11,NA,19.1,NA,2.12,NA,0.878150016069412,1.0488376,1.155792,0.0294000003486872,NA,0.878150016069412,NA,NA,973.27,NA,NA,24.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2014-08-11,NA,18.2,NA,1.28,NA,0.265300005674362,0.4044727,0.5711675,0.0280499998480082,NA,0.265300005674362,NA,NA,485.47,NA,NA,152.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2015-07-06,NA,NA,NA,NA,NA,0.6527,NA,1.0622287900358,0.007,NA,0.0112,NA,NA,NA,-88.33,-7.96,120.20375,NA,NA,-88.33,-7.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2016-04-20,11:30:00,NA,8.32,792,NA,0.34995,NA,0.72,-0.001,NA,0.011,NA,NA,234.795,-101.79,-11.22,72.4575,NA,NA,-101.79,-11.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.62,-10.04,NA,NA,NA,-95.62,-10.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2016-07-18,NA,NA,9.06,1012,NA,0.642,NA,0.932,0.00275,NA,0.0019,NA,NA,400.70804998,-88.43,-8.89,131.950256410256,NA,NA,-88.43,-8.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2017-07-12,NA,NA,NA,NA,NA,0.219471875,1.0355,1.15,0.47008,NA,0.100075,NA,NA,NA,NA,NA,132.888064516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2017-10-17,NA,NA,NA,NA,NA,0.42823455,0.52953372,0.58560726,4.9104,NA,0.08335,NA,NA,NA,NA,NA,29.5378837719298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2019-05-22,NA,NA,9.15,874,NA,0.6004,0.655,0.7455,0.89088568,0.22015,0.0188,NA,2.554,361.37,NA,NA,10.6746666666667,299.275,NA,NA,NA,12,"Surface",300,0.3,1,0.007,0.035,0.018,NA,NA,2019-07-18
"109",2019-06-11,NA,NA,NA,NA,NA,NA,1.239,1.4135,0.039,NA,NA,NA,NA,436.28,NA,NA,NA,NA,"From Amy H. Data I think? Not SDWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2019-07-09,NA,NA,9.12,979,NA,0.3141,0.375,0.4525,0.0363,0.3817959,0.0274,NA,2.9485,497.475,NA,NA,3.64742857142857,252.485,NA,NA,NA,24,"Surface",350,0.35,1,0.003,0.014,0.007,NA,NA,2019-07-18
"109",2020-09-09,12:54:00,14.29,8.65,1651,17.51,0.3599,0.3925,0.4045,0.0091,0.13582102824,0.002725,2.2765,2.372,871.23,NA,NA,3.7325,NA,NA,NA,NA,1,"Surface",400,0.4,1,0,0.013,0.005,NA,NA,2020-12-07
"109",2021-05-13,NA,19.3,9.01,2137,NA,0.4951,0.0725,0.3345,0.0523,0.40345,0.00875,1.6555,1.641,655.18,NA,NA,10.0210526315789,NA,NA,NA,NA,58,"Surface",190,0.19,1,0.01,0.026,0.015,NA,NA,2021-10-21
"109",2021-07-16,NA,5.57,7.69,3514,NA,0.60595,0.356796,0.43935024,0.1141,0.5481,-0.002925,5.4945,6.183,763.39,NA,NA,14.4228571428571,NA,"YSI in lab following day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2022-05-11,NA,13.44,6.74,599,NA,1.6086,1.282,1.288,0.1055,0.303,0.0696,1.347,1.5515,183.305,NA,NA,1.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2014-08-11,NA,15.9,NA,0.686,NA,1.8507000207901,0.8153456,1.26124,0.673400014638901,NA,1.8507000207901,NA,NA,47.64,NA,NA,79.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2015-07-06,NA,NA,NA,NA,NA,2.8325,NA,2.6636826566332,0.1745,NA,0.01405,NA,NA,NA,-88.03,-7.07,44.6064814814815,NA,NA,-88.03,-7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2016-04-20,11:10:00,NA,7.85,311,NA,0.5821,NA,0.877,0.0055,NA,0.0057,NA,NA,214.875,-117.88,-14.38,31.6784615384615,NA,NA,-117.88,-14.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.86,-11.9,NA,NA,NA,-103.86,-11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2016-07-18,NA,NA,8.68,461,NA,2.6975,NA,3.598,0.128,NA,0.0129,NA,NA,6.5242648572,-82.36,-6.55,478.791428571428,NA,NA,-82.36,-6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2017-07-12,NA,NA,NA,NA,NA,0.13083125,4.8085,6.385,3.5087025,NA,0.07025,NA,NA,NA,NA,NA,82.6416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2022-05-11,NA,14.18,6.73,266,NA,2.39255,1.853,1.866,0.127,0.6099,0.02685,2.739,2.6395,16.215,NA,NA,14.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.39,-12.27,NA,NA,NA,-103.39,-12.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2014-08-11,NA,19.8,NA,0.503,NA,1.36409997940063,1.365,1.533,0.0234000002965331,NA,1.36409997940063,NA,NA,6.86,NA,NA,98.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2015-07-06,NA,NA,NA,NA,NA,3.5171,NA,3.7166032255888,1.2795,NA,-0.0053,NA,NA,NA,-79.58,-5.01,6.2896,NA,NA,-79.58,-5.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2016-04-20,10:45:00,NA,7.67,217.1,NA,0.73745,NA,0.9255,0.0095,NA,0.007925,NA,NA,213.705,-124.85,-15.56,21.8922873900293,NA,NA,-124.85,-15.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.87,-12.41,NA,NA,NA,-109.87,-12.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2016-07-18,NA,NA,9.11,1360,NA,1.6286,NA,3.7965,0.00325,NA,-0.0043,NA,NA,643.872770668,-80.11,-6.64,66.788,NA,NA,-80.11,-6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2022-05-11,NA,17.84,6.6,159,NA,1.08605,2.696,3.7525,0.0655,0.4754,0.04365,1.6985,1.9785,12.64,NA,NA,2.18447619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2014-08-12,NA,17.8,NA,1.498,NA,0.705699980258942,0.756,0.857,0.234899997711182,NA,0.705699980258942,NA,NA,182.74,-96.08,-10.09,80.06,NA,NA,-96.08,-10.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2014-08-19,NA,20.5,NA,0.879,NA,0.6852,0.7217745,0.7550714,0.074,NA,NA,NA,NA,NA,-86.94,-7.8,8.76615384615384,NA,NA,-86.94,-7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2014-08-11,NA,17.9,NA,1.683,NA,1.08239996433258,1.0593824,1.4163992,0.423749998211861,NA,1.08239996433258,NA,NA,854.36,NA,NA,111.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2015-07-06,NA,NA,NA,NA,NA,1.62005,NA,1.7788004797116,1.1335,NA,-0.00385,NA,NA,NA,-95.24,-8.87,20.2817857142857,NA,NA,-95.24,-8.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2016-04-20,10:50:00,NA,8.13,1067,NA,0.64605,NA,0.9605,0.01,NA,0.02495,NA,NA,385.9,-110.12,-12.65,69.1302702702703,NA,NA,-110.12,-12.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.82,-11.29,NA,NA,NA,-97.82,-11.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2016-07-18,NA,NA,9.27,248,NA,2.26755,NA,1.877,0.039,NA,-0.0075,NA,NA,5.295284007,-81.62,-7.04,68.485,NA,NA,-81.62,-7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2017-07-12,NA,NA,NA,NA,NA,0.106011875,2.474,2.504,3.65094125,NA,0.00845,NA,NA,NA,NA,NA,40.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2017-10-17,NA,NA,NA,NA,NA,0.875566075,0.94648278,0.94376786,2.9298,NA,0.11305,NA,NA,NA,NA,NA,44.1138039215686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2019-05-22,NA,NA,9.35,773,NA,1.74935,2.063,2.0825,1.34168812,0.23945,0.01055,NA,3.1425,236.47,NA,NA,1.4548275862069,372.635,NA,NA,NA,8,"Surface",580,0.58,1,0.003,0.01,0.005,NA,NA,2019-07-18
"120",2019-07-09,NA,NA,8.98,972,NA,0.56865,0.7165,0.8415,0.04065,0.3597087,0.0517,NA,4.614,382.705,NA,NA,30.9497142857143,191.98,NA,NA,NA,25,"Surface",350,0.35,1,0.018,0.108,0.044,NA,NA,2019-07-18
"122",2014-08-12,NA,18.6,NA,0.905,NA,1.71449995040894,0.975024,1.4133864,NA,NA,NA,NA,NA,NA,-93.32,-9.93,76.736,NA,NA,-93.32,-9.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2014-08-11,NA,21,NA,2.91,NA,0.156700000166893,0.227658,0.2751096,0.58390000462532,NA,0.156700000166893,NA,NA,1616.56,NA,NA,7.8578947368421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.79,-10.48,NA,NA,NA,-95.79,-10.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2016-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.12,-6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125N",2014-08-11,NA,21.5,NA,2.65,NA,0.010600000154227,0.088316,0.21636,0.03,NA,0.010600000154227,NA,NA,84.535,NA,NA,37.0660869565217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2014-08-11,NA,21.7,NA,2.67,NA,0.0153000000864267,0.080784,0.2253984,0.0242999996989965,NA,0.0153000000864267,NA,NA,1619.815,NA,NA,36.7084210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2015-07-07,NA,NA,NA,NA,NA,0.03966,NA,0.2390341452137,0.00925,NA,-0.0096,NA,NA,NA,-94.64,-9.33,31.8371815718157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2016-04-20,10:30:00,NA,8.15,1897,NA,0.002,NA,0.1485,0.005,NA,0.0057,NA,NA,1063.83,-106.17,-11.84,32.6368113207547,NA,NA,-106.17,-11.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.99,-10.24,NA,NA,NA,-94.99,-10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2016-07-18,NA,NA,8.83,2438,NA,0.0039,NA,0.226,0.0025,NA,0.00455,NA,NA,1646.49674406,-83.89,-7.46,45.4816666666667,NA,NA,-83.89,-7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2017-07-11,NA,NA,NA,NA,NA,0.00205055,0.055,0.2155,0.08822575,NA,0.07345,NA,NA,NA,NA,NA,83.3855555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2017-10-16,NA,NA,NA,NA,NA,-0.007025,0.07217412,0.40005292,0.13175,NA,0.13075,NA,NA,NA,NA,NA,141.933703703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2019-05-22,NA,NA,9.04,3017,NA,0.0021,0.031,0.236,-0.0202298,0.1926,0.0216,NA,2.984,2183.21,NA,NA,49.86,361.28,NA,NA,NA,1,"Surface",150,0.15,1,0.004,0.067,0.024,NA,NA,2019-07-18
"125S",2019-07-09,NA,NA,8.92,3292,NA,0.01685,0.05,0.3455,0.0153,0.2879253,0.11875,NA,3.1545,2174.415,NA,NA,21.0245283018868,319.02,NA,NA,NA,26,"Surface",212,0.212,1,0.003,0.041,0.016,NA,NA,2019-07-18
"125S",2020-09-09,12:08:00,12.95,7.75,4571,14.56,0.0047,0.066,0.3675,0.197125,0.43250515056,0.09395,3.897,3.6465,2842.24,NA,NA,80.2249677419355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2021-07-15,NA,23.78,8.05,6198,NA,0.020525,0.04211376,0.35298672,-0.03,0.44305,0.006975,5.583,6.92,1254.675,NA,NA,228.853846153846,NA,"YSI in lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2021-10-13,NA,NA,8.18,8787,NA,0.0212,0.129,1.3205,-0.0125,0.689,0.0737,7.804,10.0555,1573.735,NA,NA,391.386666666667,NA,"YSI in lab following day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2022-05-11,NA,17.22,7.42,4806,NA,0.024225,0.07375,0.294,0.1135,0.2915,0.09615,4.564,5.0915,3432.095,NA,NA,40.0138296703297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125S",2022-10-03,NA,18.38,7.33,10012,7.44,0.08775,0.2295,0.295,0.229,0.50035,0.1,11.919,12.1865,7106.95,NA,NA,12.8318333333333,NA,"YSI done in lab, temp and O2 probably not reflect pond conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2014-08-11,NA,21.3,NA,2.69,NA,0.0205000005662441,0.0935884,0.4144516,0.041100000962615,NA,0.0205000005662441,NA,NA,1612.855,NA,NA,50.9135593220339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2014-08-19,NA,18,NA,1.378,NA,2.35465,1.841,2.341,0.447,NA,0.02385,NA,NA,368.595,-100.2,-10.14,202.032857142857,NA,"Sometimes Used Pond ID: 4864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2014-08-12,NA,19.4,NA,1.159,NA,0.823049992322922,0.941,0.966,0.2,NA,NA,NA,NA,371.68,-95.65,-8.48,71.225,NA,NA,-95.65,-8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2014-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.225,NA,NA,NA,NA,"No 138 listed in field notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2014-08-12,NA,20.1,NA,1.606,NA,0.297350004315376,0.4080965,0.5023153,0.05,NA,0.297350004315376,NA,NA,680.36,-94.96,-10.14,39.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2015-07-07,NA,NA,NA,NA,NA,0.2038,NA,0.3764328426068,0.07475,NA,-0.00745,NA,NA,NA,-97.14,-8.68,15.4814671814672,NA,NA,-97.14,-8.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2016-04-20,10:15:00,NA,8.55,815,NA,0.08235,NA,0.3715,0.014,NA,0.006375,NA,NA,272.255,-116.68,-13.49,54.598,NA,NA,-116.68,-13.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
