"","Pond","Region","Date","Depth_m","CharacteristicID","ResultValue"
"43","1","SDNWA",2024-04-25,NA,"DO_perc",118.3
"44","1","SDNWA",2024-04-25,NA,"DO_mg.L",12.44
"45","15","SDNWA",2024-04-25,NA,"Temp_degC",11.6
"46","15","SDNWA",2024-04-25,NA,"Cond_uS.cm",207.9
"47","15","SDNWA",2024-04-25,NA,"DO_perc",84.7
"48","15","SDNWA",2024-04-25,NA,"DO_mg.L",9.21
"49","2","SDNWA",2024-05-09,NA,"Temp_degC",16.3
"50","2","SDNWA",2024-05-09,NA,"Cond_uS.cm",737
"51","2","SDNWA",2024-05-09,NA,"DO_perc",42.3
"52","2","SDNWA",2024-05-09,NA,"DO_mg.L",3.92
"53","1","SDNWA",2024-05-09,NA,"Temp_degC",14.9
"54","1","SDNWA",2024-05-09,NA,"Cond_uS.cm",4375
"55","1","SDNWA",2024-05-09,NA,"DO_perc",115.4
"56","1","SDNWA",2024-05-09,NA,"DO_mg.L",115.1
"57","15","SDNWA",2024-05-09,NA,"Temp_degC",16.2
"58","15","SDNWA",2024-05-09,NA,"Cond_uS.cm",299.2
"59","15","SDNWA",2024-05-09,NA,"DO_perc",97.8
"60","15","SDNWA",2024-05-09,NA,"DO_mg.L",9.6
"61","125N","SDNWA",2024-05-09,NA,"Temp_degC",17.2
"62","125N","SDNWA",2024-05-09,NA,"Cond_uS.cm",2046
"63","125N","SDNWA",2024-05-09,NA,"DO_perc",102.8
"64","125N","SDNWA",2024-05-09,NA,"DO_mg.L",10.12
"65","125S","SDNWA",2024-05-09,NA,"Temp_degC",17.9
"66","125S","SDNWA",2024-05-09,NA,"Cond_uS.cm",2444
"67","125S","SDNWA",2024-05-09,NA,"DO_perc",100.7
"68","125S","SDNWA",2024-05-09,NA,"DO_mg.L",9.89
"69","35","SDNWA",2024-05-09,NA,"Temp_degC",19.1
"70","35","SDNWA",2024-05-09,NA,"Cond_uS.cm",540
"71","35","SDNWA",2024-05-09,NA,"DO_perc",80.65
"72","35","SDNWA",2024-05-09,NA,"DO_mg.L",7.65
"73","109","SDNWA",2024-05-09,NA,"Temp_degC",17.8
"74","109","SDNWA",2024-05-09,NA,"Cond_uS.cm",448.3
"75","109","SDNWA",2024-05-09,NA,"DO_perc",63.5
"76","109","SDNWA",2024-05-09,NA,"DO_mg.L",6.12
"77","118","SDNWA",2024-05-09,NA,"Temp_degC",18.9
"78","118","SDNWA",2024-05-09,NA,"Cond_uS.cm",264.4
"79","118","SDNWA",2024-05-09,NA,"DO_perc",33.6
"80","118","SDNWA",2024-05-09,NA,"DO_mg.L",3.42
"81","37","SDNWA",2024-05-09,NA,"Temp_degC",15.5
"82","37","SDNWA",2024-05-09,NA,"Cond_uS.cm",259.1
"83","37","SDNWA",2024-05-09,NA,"DO_perc",19
"84","37","SDNWA",2024-05-09,NA,"DO_mg.L",1.94
"85","37","SDNWA",2024-05-23,NA,"Temp_degC",9.3
"86","37","SDNWA",2024-05-23,NA,"Cond_uS.cm",291.5
"87","37","SDNWA",2024-05-23,NA,"DO_perc",64.1
"88","37","SDNWA",2024-05-23,NA,"DO_mg.L",7.75
"89","109","SDNWA",2024-05-23,NA,"Temp_degC",13.3
"90","109","SDNWA",2024-05-23,NA,"Cond_uS.cm",480.4
"91","109","SDNWA",2024-05-23,NA,"DO_perc",87.1
"92","109","SDNWA",2024-05-23,NA,"DO_mg.L",9.45
"93","125S","SDNWA",2024-05-23,NA,"Temp_degC",11.1
"94","125S","SDNWA",2024-05-23,NA,"Cond_uS.cm",2621
"95","125S","SDNWA",2024-05-23,NA,"DO_perc",95.8
"96","125S","SDNWA",2024-05-23,NA,"DO_mg.L",10.37
"97","15","SDNWA",2024-05-23,NA,"Temp_degC",10.7
"98","15","SDNWA",2024-05-23,NA,"Cond_uS.cm",317.2
"99","15","SDNWA",2024-05-23,NA,"DO_perc",30.6
"100","15","SDNWA",2024-05-23,NA,"DO_mg.L",3.33
"101","1","SDNWA",2024-05-23,NA,"Temp_degC",10.6
"102","1","SDNWA",2024-05-23,NA,"Cond_uS.cm",4260
"103","1","SDNWA",2024-05-23,NA,"DO_perc",88.1
"104","1","SDNWA",2024-05-23,NA,"DO_mg.L",9.5
"105","2","SDNWA",2024-05-23,NA,"Temp_degC",11.8
"106","2","SDNWA",2024-05-23,NA,"Cond_uS.cm",1179
"107","2","SDNWA",2024-05-23,NA,"DO_perc",68.5
"108","2","SDNWA",2024-05-23,NA,"DO_mg.L",7.32
"109","125N","SDNWA",2024-05-23,NA,"Temp_degC",11.1
"110","125N","SDNWA",2024-05-23,NA,"Cond_uS.cm",2270
"111","125N","SDNWA",2024-05-23,NA,"DO_perc",107
"112","125N","SDNWA",2024-05-23,NA,"DO_mg.L",10.9
"113","35","SDNWA",2024-05-23,NA,"Temp_degC",10
"114","35","SDNWA",2024-05-23,NA,"Cond_uS.cm",577
"115","35","SDNWA",2024-05-23,NA,"DO_perc",84.7
"116","35","SDNWA",2024-05-23,NA,"DO_mg.L",9.75
"117","35","SDNWA",2024-06-05,NA,"Temp_degC",13.3
"118","35","SDNWA",2024-06-05,NA,"Cond_uS.cm",780
"119","35","SDNWA",2024-06-05,NA,"DO_perc",74.3
"120","35","SDNWA",2024-06-05,NA,"DO_mg.L",7.75
"121","37","SDNWA",2024-06-05,NA,"Temp_degC",13
"122","37","SDNWA",2024-06-05,NA,"Cond_uS.cm",413.3
"123","37","SDNWA",2024-06-05,NA,"DO_perc",62.2
"124","37","SDNWA",2024-06-05,NA,"DO_mg.L",6.56
"125","1","SDNWA",2024-06-05,NA,"Temp_degC",14.1
"126","1","SDNWA",2024-06-05,NA,"Cond_uS.cm",4923
"127","1","SDNWA",2024-06-05,NA,"DO_perc",84.3
"128","1","SDNWA",2024-06-05,NA,"DO_mg.L",8.55
"129","15","SDNWA",2024-06-05,NA,"Temp_degC",14.9
"130","15","SDNWA",2024-06-05,NA,"Cond_uS.cm",402.3
"131","15","SDNWA",2024-06-05,NA,"DO_perc",40.5
"132","15","SDNWA",2024-06-05,NA,"DO_mg.L",4.03
"133","125N","SDNWA",2024-06-05,NA,"Temp_degC",14.2
"134","125N","SDNWA",2024-06-05,NA,"Cond_uS.cm",3144
"135","125N","SDNWA",2024-06-05,NA,"DO_perc",110.7
"136","125N","SDNWA",2024-06-05,NA,"DO_mg.L",16.39
"137","125S","SDNWA",2024-06-05,NA,"Temp_degC",14
"138","125S","SDNWA",2024-06-05,NA,"Cond_uS.cm",3327
"139","125S","SDNWA",2024-06-05,NA,"DO_perc",105.5
"140","125S","SDNWA",2024-06-05,NA,"DO_mg.L",10.35
"141","109","SDNWA",2024-06-05,NA,"Temp_degC",16.4
"142","109","SDNWA",2024-06-05,NA,"Cond_uS.cm",638
"143","109","SDNWA",2024-06-05,NA,"DO_perc",162.9
"144","109","SDNWA",2024-06-05,NA,"DO_mg.L",15.96
"145","15","SDNWA",2024-06-19,NA,"Temp_degC",14.4
"146","15","SDNWA",2024-06-19,NA,"Cond_uS.cm",399.1
"147","15","SDNWA",2024-06-19,NA,"DO_perc",52.2
"148","15","SDNWA",2024-06-19,NA,"DO_mg.L",5.32
"149","1","SDNWA",2024-06-19,NA,"Temp_degC",16.2
"150","1","SDNWA",2024-06-19,NA,"Cond_uS.cm",5091
"151","1","SDNWA",2024-06-19,NA,"DO_perc",87.2
"152","1","SDNWA",2024-06-19,NA,"DO_mg.L",8.4
"153","125N","SDNWA",2024-06-19,NA,"Temp_degC",16.1
"154","125N","SDNWA",2024-06-19,NA,"Cond_uS.cm",3330
"155","125N","SDNWA",2024-06-19,NA,"DO_perc",119.6
"156","125N","SDNWA",2024-06-19,NA,"DO_mg.L",11.64
"157","125S","SDNWA",2024-06-19,NA,"Temp_degC",16.9
"158","125S","SDNWA",2024-06-19,NA,"Cond_uS.cm",2777
"159","125S","SDNWA",2024-06-19,NA,"DO_perc",93.7
"160","125S","SDNWA",2024-06-19,NA,"DO_mg.L",8.98
"161","37","SDNWA",2024-06-19,NA,"Temp_degC",12.2
"162","37","SDNWA",2024-06-19,NA,"Cond_uS.cm",447.8
"163","37","SDNWA",2024-06-19,NA,"DO_perc",63.7
"164","37","SDNWA",2024-06-19,NA,"DO_mg.L",6.83
"165","35","SDNWA",2024-06-19,NA,"Temp_degC",11
"166","35","SDNWA",2024-06-19,NA,"Cond_uS.cm",793
"167","35","SDNWA",2024-06-19,NA,"DO_perc",96.6
"168","35","SDNWA",2024-06-19,NA,"DO_mg.L",10.62
"169","125S","SDNWA",2024-07-03,NA,"Temp_degC",22.1
"170","125S","SDNWA",2024-07-03,NA,"Cond_uS.cm",4692
"171","125S","SDNWA",2024-07-03,NA,"DO_perc",135.6
"172","125S","SDNWA",2024-07-03,NA,"DO_mg.L",11.67
"173","125N","SDNWA",2024-07-03,NA,"Temp_degC",22.5
"174","125N","SDNWA",2024-07-03,NA,"Cond_uS.cm",4117
"175","125N","SDNWA",2024-07-03,NA,"DO_perc",137.8
"176","125N","SDNWA",2024-07-03,NA,"DO_mg.L",11.78
"177","1","SDNWA",2024-07-03,NA,"Temp_degC",21
"178","1","SDNWA",2024-07-03,NA,"Cond_uS.cm",5731
"179","1","SDNWA",2024-07-03,NA,"DO_perc",100.6
"180","1","SDNWA",2024-07-03,NA,"DO_mg.L",8.8
"181","37","SDNWA",2024-07-03,NA,"Temp_degC",16.4
"182","37","SDNWA",2024-07-03,NA,"Cond_uS.cm",559
"183","37","SDNWA",2024-07-03,NA,"DO_perc",27.3
"184","37","SDNWA",2024-07-03,NA,"DO_mg.L",2.67
"185","35","SDNWA",2024-07-03,NA,"Temp_degC",16
"186","35","SDNWA",2024-07-03,NA,"Cond_uS.cm",994
"187","35","SDNWA",2024-07-03,NA,"DO_perc",123.8
"188","35","SDNWA",2024-07-03,NA,"DO_mg.L",12.18
"189","15","SDNWA",2024-07-03,NA,"Temp_degC",18.4
"190","15","SDNWA",2024-07-03,NA,"Cond_uS.cm",454.6
"191","15","SDNWA",2024-07-03,NA,"DO_perc",31.4
"192","15","SDNWA",2024-07-03,NA,"DO_mg.L",2.94
"193","37","SDNWA",2024-07-18,NA,"Temp_degC",20.3
"194","37","SDNWA",2024-07-18,NA,"Cond_uS.cm",762
"195","37","SDNWA",2024-07-18,NA,"DO_perc",60.9
"196","37","SDNWA",2024-07-18,NA,"DO_mg.L",5.49
"197","125N","SDNWA",2024-07-18,NA,"Temp_degC",26
"198","125N","SDNWA",2024-07-18,NA,"Cond_uS.cm",5863
"199","125N","SDNWA",2024-07-18,NA,"DO_perc",138.7
"200","125N","SDNWA",2024-07-18,NA,"DO_mg.L",11.06
"201","125S","SDNWA",2024-07-18,NA,"Temp_degC",29.2
"202","125S","SDNWA",2024-07-18,NA,"Cond_uS.cm",6896
"203","125S","SDNWA",2024-07-18,NA,"DO_perc",106.9
"204","125S","SDNWA",2024-07-18,NA,"DO_mg.L",8.04
"205","1","SDNWA",2024-07-18,NA,"Temp_degC",27.4
"206","1","SDNWA",2024-07-18,NA,"Cond_uS.cm",6922
"207","1","SDNWA",2024-07-18,NA,"DO_perc",182.8
"208","1","SDNWA",2024-07-18,NA,"DO_mg.L",14.18
"209","15","SDNWA",2024-07-18,NA,"Temp_degC",22.7
"210","15","SDNWA",2024-07-18,NA,"Cond_uS.cm",574
"211","15","SDNWA",2024-07-18,NA,"DO_perc",94.5
"212","15","SDNWA",2024-07-18,NA,"DO_mg.L",8.13
"213","125S","SDNWA",2024-08-06,NA,"Temp_degC",24.1
"214","125S","SDNWA",2024-08-06,NA,"Cond_uS.cm",6942
"215","125S","SDNWA",2024-08-06,NA,"DO_perc",6.3
"216","125S","SDNWA",2024-08-06,NA,"DO_mg.L",0.52
"217","15","SDNWA",2024-08-06,NA,"Temp_degC",19
"218","15","SDNWA",2024-08-06,NA,"Cond_uS.cm",539
"219","15","SDNWA",2024-08-06,NA,"DO_perc",7.5
"220","15","SDNWA",2024-08-06,NA,"DO_mg.L",0.69
"221","1","SDNWA",2024-08-06,NA,"Temp_degC",23.4
"222","1","SDNWA",2024-08-06,NA,"Cond_uS.cm",6565
"223","1","SDNWA",2024-08-06,NA,"DO_perc",6.4
"224","1","SDNWA",2024-08-06,NA,"DO_mg.L",0.53
"225","1","SDNWA",2024-08-14,0,"Temp_degC",22
"226","1","SDNWA",2024-08-14,0,"Cond_uS.cm",6772
"227","1","SDNWA",2024-08-14,0,"DO_perc",100
"228","1","SDNWA",2024-08-14,0,"DO_mg.L",8.45
"229","1","SDNWA",2024-08-14,-0.5,"Temp_degC",22.2
"230","1","SDNWA",2024-08-14,-0.5,"Cond_uS.cm",6723
"231","1","SDNWA",2024-08-14,-0.5,"DO_perc",97.7
"232","1","SDNWA",2024-08-14,-0.5,"DO_mg.L",8.26
"233","1","SDNWA",2024-08-14,-0.75,"Temp_degC",22.2
"234","1","SDNWA",2024-08-14,-0.75,"Cond_uS.cm",6721
"235","1","SDNWA",2024-08-14,-0.75,"DO_perc",91
"236","1","SDNWA",2024-08-14,-0.75,"DO_mg.L",7.72
"237","125S","SDNWA",2024-08-14,0,"Temp_degC",25
"238","125S","SDNWA",2024-08-14,0,"Cond_uS.cm",8459
"239","125S","SDNWA",2024-08-14,0,"DO_perc",88.5
"240","125S","SDNWA",2024-08-14,0,"DO_mg.L",7
"241","15","SDNWA",2024-08-14,0,"Temp_degC",24.5
"242","15","SDNWA",2024-08-14,0,"Cond_uS.cm",9622
"243","15","SDNWA",2024-08-14,0,"DO_perc",82.8
"244","15","SDNWA",2024-08-14,0,"DO_mg.L",6.26
