NWA 1998 Hydrolab Data,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
37,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,,,,,
,,,,,,,,,,,,,,
May,11.61,8.14,0.3,,,9.02,324,0,,,,,,
,11.38,8.1,0.3,,,8.54,322,0.2,,Averaged,Temperature,pH,SpCond,DO
June,18.76,9.26,0.37,0.2,142.7,12.5,330,0,,Pond 37, Degree C,,mS/cm,mg/l
,,,,,,,,,,May,,,,
July,19.16,8.98,1.75,0.9,93.2,7.52,378,0,,June,NOT ENOUGH DATA,,,
,19.18,9,1.76,0.9,92.2,7.44,376,0.3,,July,FOR TREND/PLOT,,,
August,Dry,,,,,,,,,August,,,,
,,,,,,,,,,September,,,,
Septembar,Dry,,,,,,,,,October,,,,
,,,,,,,,,,,,,,
October,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,Averaged,Temperature,pH,SpCond,DO
50,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,Pond 50, Degree C,,mS/cm,mg/l
,,,,,,,,,,May,10.59,8.205,4.1,8.715
May,10.57,8.2,4.1,,,8.83,263,0,,June,17.605,8.27,5.255,5.915
,10.61,8.21,4.1,,,8.6,249,0.4,,July,19.03,8.325,5.425,5.035
June,17.63,8.27,5.26,2.9,68.6,6.05,372,0,,August,22.29,8.6,7.2,6.08
,17.58,8.27,5.26,2.9,65.5,5.78,371,0.2,,September,13.6,8.6,9.3,2.38
July,19.09,8.32,5.41,3,63.3,5.04,395,0,,October,5.84,8.3,9.506,8.57
,18.97,8.33,5.44,3,62.9,5.03,389,0.3,,,,,,
August,22.29,8.6,7.2,4,75.4,6.08,246,0,,,,,,
,,,,,,,,,,,,,,
Septembar,13.6,8.6,9.3,5.2,24.9,2.38,231,0,,,,,,
,,,,,,,,,,,,,,
October,5.84,8.3,9.506,,,8.57,396,0.3,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
60,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,Averaged,Temperature,pH,SpCond,DO
,,,,,,,,,,Pond 60, Degree C,,mS/cm,mg/l
May,10.29,7.67,0.3,,,10.05,310,0,,May,,,,
,,,,,,,,,,June,,,,
June,18.7,8.82,3.4,1.8,111.8,9.71,343,0,,July,NOT ENOUGH DATA,,,
,18.68,8.77,3.39,1.8,111.2,9.65,343,0.3,,August,FOR TREND/PLOT,,,
July,Dry,,,,,,,,,September,,,,
,,,,,,,,,,October,,,,
August,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Septembar,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
October,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
65,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,,,,,
,,,,,,,,,,Averaged,Temperature,pH,SpCond,DO
May,10.56,8.16,2.9,,,8.68,313,0,,Pond 65, Degree C,,mS/cm,mg/l
,10.57,8.15,2.9,,,8.61,306,0.4,,May,10.565,8.155,2.9,8.645
June,18.7,8.82,3.4,1.8,111.8,9.71,343,0,,June,18.8,8.885,3.395,9.68
,18.68,8.77,3.39,1.8,111.2,9.65,343,0.3,,July,20.425,8.86,3.455,9.68
July,20.39,8.86,3.45,1.9,116.3,9.1,318,0,,August,22.51,9.475,4.615,7.725
,20.46,8.86,3.46,1.9,118.5,9.26,275,0.2,,September,12.91,9.39,6.12,5.17
August,22.48,9.47,4.59,2.5,95.5,7.74,141,0,,October,12.84,9.4,6.12,5.05
,22.54,9.48,4.64,2.5,95.2,7.71,121,0.1,,,,,,
Septembar,12.91,9.39,6.12,3.4,52.7,5.17,139,0,,,,,,
,12.84,9.4,6.12,3.4,51.4,5.05,116,0,,,,,,
October,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
66,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,Averaged,Temperature,pH,SpCond,DO
,,,,,,,,,,Pond 66, Degree C,,mS/cm,mg/l
May,10.87,8.26,28.6,,,9.25,160,0,,May,10.85,8.265,28.6,9.21
,10.83,8.27,28.6,,,9.17,177,0.2,,June,18.76,8.885,17.97,9.87
June,18.75,8.88,16.94,9.9,120.2,9.9,324,0,,July,20.46,8.84,19.5,9.84
,18.77,8.89,19,11.2,120.5,9.84,356,0.2,,August,21.89,8.78,28.6,2.965
July,20.46,8.84,19.5,11.2,120.5,9.84,356,0.1,,September,11.87,8.72,43.3,4.58
,,,,,,,,,,October,,,,
August,21.9,8.78,28.2,17.3,39.9,2.99,202,0,,,,,,
,21.88,8.78,29,17.9,39.4,2.94,204,0.1,,,,,,
Septembar,11.87,8.72,43.3,27.9,53.2,4.58,139,-0.3,,,,,,
,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
67,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,Averaged,Temperature,pH,SpCond,DO
,,,,,,,,,,Pond 67, Degree C,,mS/cm,mg/l
May,11.01,8.52,4.4,,,11.58,290,0,,May,10.77,8.555,4.4,11.625
,10.53,8.59,4.4,,,11.67,277,0.5,,June,17.9,8.82,3.89,9.945
June,17.9,8.81,3.89,2.1,112.5,9.98,376,0,,July,20.25,9.285,5.055,8.78
,17.9,8.83,3.89,2.1,111.8,9.91,374,0.5,,August,22.145,9.29,6.455,5.435
July,20.46,9.3,5.04,2.8,117.8,9.15,292,0,,September,12.655,9.335,7.775,5.17
,20.04,9.27,5.07,2.8,107.4,8.41,145,0.3,,October,,,,
August,22.25,9.3,6.35,3.5,78.3,6.34,222,0,,,,,,
,22.04,9.28,6.56,3.6,55.8,4.53,58,0,,,,,,
Septembar,12.66,9.33,7.77,4.3,53.1,5.2,153,0,,,,,,
,12.65,9.34,7.78,4.3,52.4,5.14,153,0,,,,,,
October,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
86,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,Averaged,Temperature,pH,SpCond,DO
,,,,,,,,,,Pond 86, Degree C,,mS/cm,mg/l
May,14.39,7.76,0.5,,,8.58,300,0,,May,,,,
,,,,,,,,,,June,,,,
June,17.7,9.27,1.008,0.5,107.3,9.58,317,0,,July,NOT ENOUGH DATA,,,
,17.8,9.28,1.006,0.5,106.4,9.5,312,0.1,,August,FOR TREND/PLOT,,,
July,Dry,,,,,,,,,September,,,,
,,,,,,,,,,October,,,,
August,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Septembar,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
October,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
90,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,Averaged,Temperature,pH,SpCond,DO
,,,,,,,,,,Pond 90, Degree C,,mS/cm,mg/l
May,14.25,8.3,3.2,,,13.32,376,0,,May,14.23,8.31,3.25,13.455
,14.21,8.32,3.3,,,13.59,369,0.2,,June,17.925,8.82,3.89,9.945
June,17.92,8.81,3.89,2.1,112.5,9.98,376,0,,July,21.08,8.595,3.835,7.085
,17.93,8.83,3.89,2.1,111.8,9.91,374,0.5,,August,23.725,8.575,4.945,4.96
July,21.18,8.58,3.85,2.1,86.8,6.67,389,0,,September,13.745,8.37,5.875,5.315
,20.98,8.61,3.82,2.1,97.1,7.5,386,0.5,,October,7.3,8.48,5.964,12.15
August,23.74,8.57,4.94,2.7,62.7,4.96,422,0,,,,,,
,23.71,8.58,4.95,2.7,62.7,4.96,411,0.3,,,,,,
Septembar,13.74,8.33,5.87,3.2,55.3,5.32,455,0,,,,,,
,13.75,8.41,5.88,3.2,55.1,5.31,426,0.4,,,,,,
October,7.3,8.48,5.964,,,12.15,360,0.2,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,,,,,,,
109,degC,units,mS/cm,ppt,%Sat,mg/l,mV,,,Averaged,Temperature,pH,SpCond,DO
,,,,,,,,Depth,,Pond 109, Degree C,,mS/cm,mg/l
May,13.18,7.85,0.4,,,9.64,267,meters,,May,,,,
,13.17,7.81,0.4,,,9.67,252,,,June,,,,
June,18.65,8.13,0.488,0.2,90.7,8.02,360,0,,July,NOT ENOUGH DATA,,,
,,,,,,,,0.2,,August,FOR TREND/PLOT,,,
July,Dry,,,,,,,0,,September,,,,
,,,,,,,,,,October,,,,
August,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Septembar,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
October,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
4857,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,Averaged,Temperature,pH,SpCond,DO
,,,,,,,,,,Pond 4857, Degree C,,mS/cm,mg/l
May,9.49,8.3,0.7,,,9.32,162,0,,May,,,,
,9.52,8.29,0.7,,,8.97,121,0.3,,June,NOT ENOUGH DATA,,,
June,17.73,9.27,1.008,0.5,107.3,9.58,317,0,,July,,,,
,17.75,9.28,1.006,0.5,106.4,9.5,312,0.1,,August,,,,
July,20.77,9.82,1.02,0.5,161,12.61,359,0,,September,,,,
,20.81,9.84,1.03,0.5,161.1,12.61,320,0,,October,,,,
August,20.9,9.32,1.46,0.8,74.6,6.31,207,0,,,,,,
,,,,,,,,,,,,,,
Septembar,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
October,Dry,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
5338,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,Averaged,Temperature,pH,SpCond,DO
,,,,,,,,,,Pond 5338, Degree C,,mS/cm,mg/l
May,11.73,8.57,38,,,9.28,372,0,,May,11.615,8.58,38,9.295
,11.5,8.59,38,,,9.31,370,0.8,,June,18.055,8.845,20.8,6.12
June,18.02,8.84,20.8,12.4,75.8,6.29,367,0,,July,20.605,8.695,20.7,3.295
,18.09,8.85,20.8,12.4,71.9,5.95,360,0.7,,August,23.19,8.555,25.5,4.15
July,20.77,8.69,20.8,12.4,45.3,3.29,377,0,,September,13.73,8.555,28.95,5.84
,20.44,8.7,20.9,12.5,45.2,3.3,341,0.6,,October,6.985,8.365,29.8585,11.715
August,23.29,8.56,25.4,15.4,67.8,5,372,0,,,,,,
,23.09,8.55,25.6,15.5,44.6,3.3,369,0.5,,,,,,
Septembar,13.79,8.55,28.9,17.8,70.9,6.22,353,-0.2,,,,,,
,13.67,8.56,29,17.9,62.1,5.46,314,0.2,,,,,,
October,6.97,8.28,29.832,,,12.09,204,0,,,,,,
,7,8.45,29.885,,,11.34,178,0.4,,,,,,
